TICKERS,OPENING,CLOSING,3,4,5,6,7
20MICRONS,-0.0033927059999999997,0.033191489,,,20MICRONS,-0.0033927059999999997,0.033191489
3MINDIA,0.019234432,0.037657251,,,ADANIPOWER,0.024038462000000003,0.061032864000000006
63MOONS,-0.001254705,0.041876047,,,ADHUNIK,0.069230769,0.050359712
8KMILES,-0.006662996,0.022063307,,,AHLUCONT,-0.041010252999999997,0.050456323
AARTIDRUGS,-0.018343653,0.037609397999999995,,,AKASH,-0.147058824,0.172413793
ABFRL,-0.000587889,0.024117647000000002,,,APOLSINHOT,0.129572709,0.045607849000000006
ACE,-0.016666667,0.027542373,,,BALKRISHNA,-0.08583333300000001,0.097994531
ADANIENT,0.001507841,0.022884672999999998,,,BALPHARMA,0.106594399,0.046530612
ADANITRANS,-0.019852777,0.032316796,,,BANARBEADS,0.10602798699999999,0.054014599
ADORWELD,-0.007014028,0.034207871,,,BGLOBAL,0.091666667,0.0
ADVANIHOTR,0.003164557,0.034700315,,,BIRLAMONEY,0.10045403,0.048994327000000004
AGARIND,-0.028615385,0.029458347000000003,,,CCHHL,0.040816327,0.073529412
AGCNET,0.010292953,0.038401253999999996,,,CMICABLES,0.070503597,0.024361558999999998
AGLSL,-0.029190992000000002,0.030068729,,,CMMIPL,-0.060714286,0.10809342699999999
AGRITECH,-0.017768595,0.026503997,,,CONSOFINVT,0.137414966,0.052631579000000005
AHLWEST,-0.030520316000000002,0.031670776,,,CREST,0.00017857099999999998,0.062310302000000005
AIFL,-0.03584725,0.045123566,,,DNAMEDIA,-0.107638889,0.12062256800000001
AISL,-0.034844192999999996,0.043146462999999996,,,DPABHUSHAN,-0.004375,0.059635907
AKSHARCHEM,-0.005,0.032434902,,,DPWIRES,0.12227362900000001,0.010600707
ALBERTDAVD,-0.02745098,0.028225806000000003,,,DSSL,0.149858624,0.006557377
ALCHEM,0.0067567569999999995,0.026845637999999998,,,EASUNREYRL,0.074157303,0.00209205
ALEMBICLTD,0.001731602,0.026793431,,,EQ30,-0.0746,0.080613789
ALICON,-0.001564611,0.025429162,,,GAMMNINFRA,-0.025641026,0.10526315800000001
ALKALI,-0.023564955,0.030940594,,,GTL,0.017142857,0.08426966300000001
